dyadID,subjectID,pt_cond,emot_cond,exper,mainfeel_1_TEXT,mainfeel_2_TEXT,mainfeel_3_TEXT,expl,happy,symp,angry,compass,interest,disgust,mad,anxious,proud,down,worried,frust,sad,powerful,o_feel_1_TEXT,o_feel_2_TEXT,o_feel_3_TEXT,o_expl,thappy,tshock,hope,tangry,tselfanger,tinterest,tdisgust,tmad,tcurious,tafraid,tgrateful,tproud,tsurpr,tamused,tdown,tworried,tfrust,tsad,tembarrass,tguilty,tconfused,tpowerful,pleas,targag,othag,selfcirc,targpow,othpow,noonepow,sitcont,immoral,comm,o_pleas,o_selfag,o_otherag,o_sitag,o_selfpow,o_otherpow,o_noonepow,o_sitpow,o_immoral,o_comm,ssc,age,female,black,asian,latino,white,other,other_secify,mideast,natam,pacisl,mom_ed,dad_ed,expcomment,othernotes,noshow,inattention,metearly,suspicion,misunderstood,other,kneweachother,minorproblem,language
112,112-2,1,1,Gabi,disappointed,unsatisfied,concerned,,1,3,2,3,3,1,2,3,1,2,4,4,2,3,frustrated,anxious, worried,,1,2,2,2,4,3,2,3,1,4,2,1,2,1,5,5,5,4,4,4,3,1,1,3,4,4,2,3,3,3,1,2,1,2,3,5,2,2,4,4,2,2,20,18,1,0,1,0,0,0,,0,0,0,4,7,,,0,0,0,0,0,0,0,0,0
337,337-2,2,2,Bianca,anger,sadness,mistrust,,1,3,4,1,4,4,4,3,1,4,4,4,2,1,anger,fear,worry,,1,5,1,5,5,1,5,5,1,5,1,1,5,1,5,5,5,5,5,5,5,1,1,1,1,1,2,1,2,1,5,3,1,1,5,5,2,5,2,1,5,3,17,18,1,0,0,0,1,0,,0,0,0,8,NA,,,0,0,0,0,0,0,0,0,0
102,102-2,1,2,Gabi,concerned,troubled,confused,I am concerned that Sam is going to do something violent; he seems very upset. ,1,3,2,1,3,1,1,2,1,1,3,1,1,1,Angry,Distraught,Stressed,,1,2,1,5,3,2,3,5,2,2,1,1,1,1,3,3,5,3,2,2,2,2,2,2,5,3,4,5,1,1,3,3,1,2,5,5,1,3,3,4,2,4,21,18,1,0,0,0,1,0,,1,0,0,7,8,,,0,0,0,0,0,0,0,0,0
102,102-1,2,2,Gabi,Angry,Nervous,Curious,I am angry because someone gave information to another company but I am nervous and curious at the same time because I don't know who did it. I can't be sure weather it is Sam or Lewis. I am going to have a hard time solving this and I need to find a way to bounce back from this fall. ,1,3,4,1,1,3,4,4,1,4,4,4,4,3,Angry,Frustrated,Hopeless,,1,4,1,5,1,1,5,5,3,3,1,1,4,1,5,4,5,5,1,1,3,1,1,2,3,1,4,4,1,1,5,4,1,1,5,1,3,5,1,1,5,1,18,22,1,0,1,0,0,0,,0,0,0,7,7,,,0,0,0,0,0,0,0,0,0
103,103-2,1,2,Gabi,pity,frusrtation,,I feel bad for Sam that Lewis was such a jerk.,1,4,3,2,2,3,3,1,1,2,3,4,1,1,Angry,Frustrated,Anxious,,1,3,1,4,1,2,4,4,2,1,1,1,1,1,2,3,3,2,1,1,1,1,1,4,4,1,2,5,1,1,4,3,1,1,5,1,1,5,1,1,5,4,18,18,1,0,0,0,1,0,,0,0,0,8,8,,,0,0,0,0,0,0,0,0,0
104,104-1,2,1,Gabi,sympathetic,stressed,apologetic,,1,5,1,4,2,1,1,4,1,3,4,2,3,1,overwhelmed,frustrated,anxious,,1,3,1,3,3,1,2,3,1,NA,3,1,3,1,4,4,4,4,3,2,2,1,1,1,1,4,2,1,4,4,1,2,1,2,1,4,2,1,4,4,1,1,21,19,1,0,0,0,1,0,,0,0,0,8,8,,,0,0,0,0,0,0,0,0,0
106,106-1,2,1,Gabi,Empathy,Pity,Frustration,,1,4,2,3,2,2,2,5,1,3,3,4,2,1,Anxiety,Frustration,Hopelessness,,1,2,1,5,5,1,2,4,1,5,1,1,4,1,4,5,5,5,4,4,2,1,1,3,1,4,3,1,3,3,1,1,1,3,1,3,3,1,3,3,1,1,21,18,1,0,0,0,1,0,,0,0,0,7,8,,,0,0,0,0,0,0,0,0,0
106,106-2,1,1,Gabi,Sad,Anxious,,I empathize with her and know how much frustration and anxiety it would cause me if I were placed in this situation.,1,5,3,5,2,3,3,5,1,NA,4,3,4,1,Frustrated,Nervous,Upset,,1,5,1,4,4,1,4,4,1,5,1,1,4,1,5,5,5,5,5,5,2,1,1,1,1,5,1,2,3,4,1,1,1,4,1,5,1,1,5,5,1,1,22,20,1,0,0,0,1,0,,0,0,0,7,8,,,0,0,0,0,0,0,0,0,0
107,107-2,1,1,Gabi,Empathy,Worried,Anxious,,1,5,2,5,2,1,2,5,1,4,5,4,3,1,Scared,Sad,Frustrated,,1,4,1,4,5,1,4,4,1,5,1,1,4,1,5,5,5,5,5,5,2,1,1,2,1,4,2,1,4,4,1,1,1,3,1,4,2,1,4,4,2,1,22,18,1,0,0,0,1,0,,0,0,0,7,8,ended up meeting in the same location as the other participant. didn't fully understand my directions--she asked where the email was during the 2nd task when it was on the keyboard.,,0,1,1,0,0,0,0,0,0
108,108-2,1,1,Gabi,Empathetic,Stressed,,I feel sorry for the person who lost the project and a little stressed from thinking about how I would feel if it happened to me.,1,4,1,2,1,1,1,3,1,1,3,2,2,1,Distressed,Upset,Worried,,1,2,1,1,3,1,1,1,1,4,1,1,2,1,2,5,3,2,2,3,1,1,1,2,1,5,1,2,4,4,1,1,1,3,1,5,2,1,4,4,1,1,21,19,1,0,0,0,1,0,,0,0,0,8,8,,,0,0,0,0,0,0,0,0,0
