StartDate,EndDate,DyadID,SubjectID,pow_cond,emot_cond,experimenter,mainfeel_1,mainfeel_2,mainfeel_3,mainfeel_expl,happy,symp,angry,comp,interest,disgust,mad,anxious,proud,down,worried,frust,sad,powerful,ofeel_1,ofeel_2,ofeel_3,ofeel_expl,ohappy,oshocked,ohope,oangry,oselfanger,ointerest,odisgust,omad,ocurious,oafraid,ograteful,oproud,osurprise,oamused,odown,oworried,ofrust,osad,oembarrass,oguilty,oconfused,opowerful,pleas,targag,othag,sitag,targpow,othpow,noonepow,sitcont,immoral,comm,o_pleas,o_selfag,o_othag,o_sitag,o_selfpow,o_othpow,o_noonepow,o_sitcont,o_immoral,o_comm,ssc,age,female,black,asian,latino,white,mideast,natam,pacisl,other,other_specify,mom_ed,dad_ed,expcomment,prime_prob,suspicious,language,minorprob,metearly,personalize,inattention,samlie,kneweachother,hurry
2/9/15 10:01,2/9/15 10:39,101,101-1,1,2,Gabi,Worried,Nervous,Anxious,I feel worried that Sam is jumping to conclusions and will do something that he will regret or hurt the company later. I would first have to listen to both sides of the story before blaming anything on somebody; but there may not be enough time to do that before Sam does something.,NA,3,2,3,1,1,2,4,1,1,5,2,1,1,Anger,Frustration,Disappointment,,1,2,1,5,3,1,2,5,1,1,1,1,1,1,1,2,5,2,1,1,2,1,1,3,3,2,4,4,1,2,3,5,1,2,5,2,2,5,1,1,5,4,21,18,1,0,1,0,0,0,0,0,0,,7,8,,0,0,0,0,0,0,0,0,0,0
2/9/15 10:05,2/9/15 10:40,101,101-2,2,2,Gabi,confused,sad,betrayed,,1,5,3,2,3,5,4,4,1,4,4,4,4,2,angry,betrayed,sad,,1,4,1,5,4,3,5,5,3,3,1,1,4,3,5,5,5,5,4,4,4,1,1,3,4,1,2,3,1,1,5,4,1,3,5,3,3,3,2,2,3,4,22,19,0,0,0,0,1,0,0,0,0,,7,7,,0,0,0,0,0,0,0,0,0,0
2/10/15 9:53,2/10/15 10:41,102,102-1,2,2,Gabi,Angry,Nervous,Curious,I am angry because someone gave information to another company but I am nervous and curious at the same time because I don't know who did it. I can't be sure weather it is Sam or Lewis. I am going to have a hard time solving this and I need to find a way to bounce back from this fall. ,1,3,4,1,1,3,4,4,1,4,4,4,4,3,Angry,Frustrated,Hopeless,,1,4,1,5,1,1,5,5,3,3,1,1,4,1,5,4,5,5,1,1,3,1,1,2,3,1,4,4,1,1,5,4,1,1,5,1,3,5,1,1,5,1,18,22,1,0,1,0,0,0,0,0,0,,7,7,,0,0,0,0,0,0,0,0,0,0
2/10/15 9:58,2/10/15 10:41,102,102-2,1,2,Gabi,concerned,troubled,confused,I am concerned that Sam is going to do something violent; he seems very upset. ,1,3,2,1,3,1,1,2,1,1,3,1,1,1,Angry,Distraught,Stressed,,1,2,1,5,3,2,3,5,2,2,1,1,1,1,3,3,5,3,2,2,2,2,2,2,5,3,4,5,1,1,3,3,1,2,5,5,1,3,3,4,2,4,21,18,1,0,0,0,1,1,0,0,0,,7,8,,0,0,0,0,0,0,0,0,0,0
2/10/15 10:41,2/10/15 11:35,103,103-1,2,2,Gabi,Intruige,curiosity,determination,I am curious as to what the real story is; i would like to find out more details; and get to the bottom of the situation.,2,3,1,1,5,1,1,1,1,1,1,2,1,1,Angry,Nervous,Frustrated,They didnt know how their boss would react and was nervous about the result,1,5,1,5,1,1,5,5,1,1,1,1,5,1,5,5,5,5,3,5,3,1,1,2,3,1,5,5,1,1,1,5,1,1,5,5,1,5,4,4,1,3,23,18,0,0,0,0,1,0,0,0,0,,3,8,didn't think other girl could have had more leadership experience; he was 8+ and on the lacross team; a captain; etc. but he didn't know what the purpose of the study was,1,0,0,0,0,0,0,0,0,0
2/10/15 10:41,2/10/15 11:34,103,103-2,1,2,Gabi,pity,frusrtation,,I feel bad for Sam that Lewis was such a jerk.,1,4,3,2,2,3,3,1,1,2,3,4,1,1,Angry,Frustrated,Anxious,,1,3,1,4,1,2,4,4,2,1,1,1,1,1,2,3,3,2,1,1,1,1,1,4,4,1,2,5,1,1,4,3,1,1,5,1,1,5,1,1,5,4,18,18,1,0,0,0,1,0,0,0,0,,8,8,,0,0,0,0,0,0,0,0,0,0
2/10/15 11:35,2/10/15 12:34,104,104-1,2,1,Gabi,sympathetic,stressed,apologetic,,1,5,1,4,2,1,1,4,1,3,4,2,3,1,overwhelmed,frustrated,anxious,,1,3,1,3,3,1,2,3,1,NA,3,1,3,1,4,4,4,4,3,2,2,1,1,1,1,4,2,1,4,4,1,2,1,2,1,4,2,1,4,4,1,1,21,19,1,0,0,0,1,0,0,0,0,,8,8,,0,0,0,0,0,0,0,0,0,0
2/10/15 11:34,2/10/15 12:34,104,104-2,1,1,Gabi,pity,skepticism,,,1,5,2,4,2,1,1,2,1,3,4,2,3,1,anxious,distraught,hopeless,,1,4,1,3,4,4,2,2,1,4,1,1,4,1,5,5,5,5,4,4,3,1,1,2,1,4,2,1,3,2,1,4,1,3,1,5,1,1,5,5,2,3,19,19,0,0,1,0,0,0,0,0,0,,3,8,,0,0,0,0,0,0,0,0,0,0
2/10/15 12:34,2/10/15 13:40,105,105-1,2,2,Gabi,I want him to relax.,I want him not to jump to conclusions.,Don't be stupid please,"I feel like this guy is just jumping to conclusions (as I sometimes do as well); when he should just directly face ""Lewis"" and ask him if he did this and try to solve the problem from there.",1,2,1,2,3,1,1,1,1,1,1,1,1,1,Angry,"""Fuming""",irrational,,1,3,1,4,1,5,1,4,1,1,1,1,2,1,1,5,5,1,1,1,5,1,1,3,3,2,3,3,2,3,2,5,3,1,5,1,3,4,1,1,5,1,21,19,0,0,1,0,0,0,0,0,0,,8,8,,0,0,0,0,0,0,0,0,0,0
2/10/15 12:34,2/10/15 13:50,105,105-2,1,2,Gabi,Concerned,Curious,Want to help,I feel truly concerned about the situation. From watching a lot of movies; I know that Lewis should be considered innocent until proven guilty. I am also very curious to find the result out for myself. ,1,3,2,4,4,1,2,1,1,1,2,2,1,2,Sad,Worried,Angry,Sam was very upset about the whole issue. He felt that his partner; who he trusted a lot; betrayed him.,1,5,1,5,2,1,4,5,3,4,1,1,4,1,5,5,5,4,2,1,5,1,1,2,2,3,4,3,1,1,3,4,1,1,5,1,1,3,3,3,5,2,19,18,0,0,1,0,0,0,0,0,0,,7,8,took it really seriously in a good way though. sort of got into an argument with the low power participant/got frustrated when he didn't understand his instructions he was giving,0,0,0,0,0,0,0,0,0,0
