dyadID,subjectID,pt_cond,emot_cond,exper,ssc,age,female,black,asian,latino,white,other,other_secify,mideast,natam,pacisl,mom_ed,dad_ed,open_problem,noshow,inattention,metearly,suspicion,misunderstood,other,kneweachother,minorproblem,language,mainfeel1,mainfeel2,mainfeel3,mainfeel_exp,accomplished,aggravated,alarmed,amused,analytical,anger,angry,annoyance,annoyed,anxiety,anxious,apologetic,awkward,bad,badly,betrayal,betrayed,calm,care,caring,cautious,comforting,compassion,compassionate,competent,concern,concerned,confliction,confused,confusion,content,critical,critique_of_writer,curiosity,curious,decent_at_communicating,defeated,dependent,despair,determination,determined,disappointed,disappointment,disbelief,disgust,disrespect,disrespected,distressed,dominance,doubt,eager,eagerness,emotional,empathetic,empathy,excited,excitement,fear,focused,frustrated,frustration,furious,helpful,helpfulness,helpless,helplessness,hesitant_to_believe,in_agreeance,indignation,inquisitive,interested,intrigue,intrigued,irritated,level_headed,mad,mistrust,motivated,nervous,nervousness,optimistic,other,panic,patience,pensive,persistence,petty,pitiful,pity,positive,provoked,puzzled,questioning,rational,realistic,reassuring,regret,remorse,sad,sadness,satisfied,shock,shocked,skeptical,skepticism,sorrow,sorrowful,sorry,stress,stressed,surprise,surprised,suspicion,sympathetic,sympathy,terrible,thoughtful,tired,troubled,trustworthy,unbelievable,uncaring,uncertainty,understanding,uneasy,unemotional,unhappy,unprofessional,unsatisfied,unsure,upset,want_to_help,wanted,wanting_to_help,willing_to_help,worried,worry,ofeel1,ofeel2,ofeel3,ofeel_exp,oaccusatory,oafraid,oagitation,oaloneness,oanger,oangry,oannoyed,oanxiety,oanxious,oanxiousness,oapologetic,obetrayal,obetrayed,obusy,ocare,ocheated,oconcern,oconcerned,oconfused,oconfusion,ocriticize_letter,ocrushed,odefeated,odepressed,odepression,odespair,odesperate,odesperation,odespondency,odevastated,odisappointed,odisappointment,odisbelief,odisgust,odisgusted,odisoriented,odisrespected,odistraught,odistress,odistressed,odown,oempathy,oexasperation,ofailure,ofear,ofearful,ofed_up,oflustered,ofrantic,ofrustrated,ofrustration,ofuming,oguilt,oguilty,ohappy,ohardworking,ohatred,ohelpless,ohelplessness,ohopeless,ohopelessness,ohurt,oindignant,oirrational,oirritated,ojealous,ojudgmental,olivid,olost,omad,omelancholy,omiserable,onervous,onervousness,onot_hopeful,onot_together,oother,ooutrage,ooverwhelmed,opanic,opanicked,opanicky,opissed,oproud,orattled,orealistic,oresentful,oresentment,orevenge,orushed,osad,osadness,oscared,oself_pity,oshock,oshocked,osorrow,ostress,ostressed,osympathetic,otired,ouneasy,ounlucky,ounprofessional,ounstable,ounsure,oupset,ovengeful,oviolent,oweak,oworried,oworry
101,101-1,1,2,Gabi,21,18,1,0,1,0,0,0,,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,Worried,Nervous,Anxious,I feel worried that Sam is jumping to conclusions and will do something that he will regret or hurt the company later. I would first have to listen to both sides of the story before blaming anything on somebody; but there may not be enough time to do that before Sam does something.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Anger,Frustration,Disappointment,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,101-2,2,2,Gabi,22,19,0,0,0,0,1,0,,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,confused,sad,betrayed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,angry,betrayed,sad,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102-1,2,2,Gabi,18,22,1,0,1,0,0,0,,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,Angry,Nervous,Curious,I am angry because someone gave information to another company but I am nervous and curious at the same time because I don't know who did it. I can't be sure weather it is Sam or Lewis. I am going to have a hard time solving this and I need to find a way to bounce back from this fall. ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angry,Frustrated,Hopeless,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102-2,1,2,Gabi,21,18,1,0,0,0,1,0,,1,0,0,7,8,0,0,0,0,0,0,0,0,0,0,concerned,troubled,confused,I am concerned that Sam is going to do something violent; he seems very upset. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angry,Distraught,Stressed,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103-1,2,2,Gabi,23,18,0,0,0,0,1,0,,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,Intruige,curiosity,determination,I am curious as to what the real story is; i would like to find out more details; and get to the bottom of the situation.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angry,Nervous,Frustrated,They didnt know how their boss would react and was nervous about the result,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103-2,1,2,Gabi,18,18,1,0,0,0,1,0,,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,pity,frusrtation,,I feel bad for Sam that Lewis was such a jerk.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angry,Frustrated,Anxious,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104-1,2,1,Gabi,21,19,1,0,0,0,1,0,,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,sympathetic,stressed,apologetic,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,overwhelmed,frustrated,anxious,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104-2,1,1,Gabi,19,19,0,0,1,0,0,0,,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,pity,skepticism,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anxious,distraught,hopeless,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105-1,2,2,Gabi,21,19,0,0,1,0,0,0,,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,I want him to relax.,I want him not to jump to conclusions.,Don't be stupid please,"I feel like this guy is just jumping to conclusions (as I sometimes do as well); when he should just directly face ""Lewis"" and ask him if he did this and try to solve the problem from there.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angry,"""Fuming""",irrational,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105-2,1,2,Gabi,19,18,0,0,1,0,0,0,,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,Concerned,Curious,Want to help,I feel truly concerned about the situation. From watching a lot of movies; I know that Lewis should be considered innocent until proven guilty. I am also very curious to find the result out for myself. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sad,Worried,Angry,Sam was very upset about the whole issue. He felt that his partner; who he trusted a lot; betrayed him.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
