SubjectID,IPAddress,empty,duplicate,StartDate,EndDate,testruns,powcond,emptyappraisals,prime_prob,hp_exp,lp_exp,emocond,happy,symp,angry,comp,sad,interest,mad,anxious,proud,down,worried,frustrated,ohappy,oangry,osad,ointerest,omad,oanxious,oproud,odown,oworried,ofrust,pleas,tresp,oresp,sresp,tpow,opow,noonepow,sitpow,immoral,age,gender,female,income,education,black,mideast,asian,white,latino,natam,pacisl,other,other_specify,other_tell,sim_hit,comments,suspicion
R_2B59ey33mbOTfLo,123.237.99.29,0,0,7/14/15 8:57,7/14/15 8:59,0,1,0,1,asd,,-1,13,12,19,9,4,12,19,6,11,6,11,12,13,17,12,13,10,16,12,10,16,10,66,63,58,61,57,44,53,54,62,33,dsf,NA,5,1,0,0,0,0,0,1,0,0,,,,0,0
R_1PcSw4x7Xgjl0O8,184.53.48.98,0,0,8/13/15 19:32,8/13/15 19:43,0,1,0,0,As part of my current profession; I have authority; or power; over incarcerated men on a daily basis.  I control their movements and behaviors during my shift.  At times; it is difficult - especially being a female in a male maximum security prison.  There have been times that I must correct behavior by using force and other times by verbalization. /  / At times; correcting behavior has illicited good results and others; not so much.  One time the outcome was a good one was when an inmate watned to kill himself using pills.  He called me over and showed me the pills; and said he wanted to talk to me.  I was able to talk him out of taking the pills and giving them to me.  He did that and continued to talk to me while a collegue was able to call the mental health unit.  We were able to save his life that night.  It made me feel real good about myself and the fact I saved a life.,,-1,0,100,0,100,27,76,0,0,0,35,0,38,0,100,90,49,100,100,11,95,100,100,0,59,33,84,66,32,25,30,50,45,f,female,4,5,0,0,0,1,0,0,0,0,,,no,0,0
R_1ocIKaPmdoi8FSN,76.21.250.201,0,0,7/14/15 8:42,7/14/15 8:44,0,1,0,1,Depression lk,,-1,0,0,0,0,96,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,47,47,45,47,46,43,47,48,22,f,female,1,4,0,0,0,1,0,0,0,0,,q,v,0,0
R_1IkWdHl2KeyvCbn,23.24.241.242,0,0,8/13/15 19:45,8/13/15 19:57,0,1,0,0,One of the biggest powers that you feel is as a parent.  You have the power to  shape them into who they are and this causes great anxiety.  Did I pick the right neighborhood; school; activities.  Did I teach them everything they needed to know.  All that they want has to go through you and you need to decide what is good.,,1,0,51,22,57,80,78,35,66,0,34,2,27,0,100,27,37,100,63,0,65,68,100,6,56,83,38,64,70,71,31,97,47,f,female,4,6,0,0,0,1,0,0,0,0,,,no,0,0
R_xu2hv6WT6Agsxxv,72.218.214.102,0,1,8/13/15 19:06,8/13/15 19:11,0,1,0,0,While no statement I'm about to make should be construed as suggesting or recommending that any person commit an illegal act of any kind; you should realize that the ineluctable outcome of power's campaigns of terror is a world in which the most cankered dipsomaniacs you'll ever see discredit legitimate voices in the fanaticism debate. The nitty-gritty of what I'm about to write is this: Life is a search for the true; the good; and the beautiful. It is not; as power maintains; an excuse to galvanize a corporatism-oriented hysteria; a large-scale version of the brazen mentality that can make everyone agree to a specific; deeply political set of beliefs about how race; culture; class; and gender play out in our society. There may be nothing we can do to prevent power from making good on its word to foment; precipitate; and finance large-scale wars to emasculate and bankrupt nations and thereby force them into a one-world government. When we compare this disturbing conclusion to the comforting picture purveyed by its squadristi; we experience psychological stress or “cognitive dissonance”. Our only recourse is to make the world safe for democracy. As a parting thought; let these sterling words of wisdom be most thoroughly and attentively perused: Power's spokesmen are more determined than most irresponsible stool pigeons.,,1,0,0,0,0,31,0,0,10,0,0,2,0,0,0,53,0,0,62,0,74,0,0,28,23,83,84,22,21,19,19,100,22,F,female,4,5,1,0,0,0,0,0,0,0,,,,0,0
R_3DdcynchlkvSlEO,76.4.136.246,0,0,7/14/15 7:37,7/14/15 7:42,0,-1,0,0,,A time where someone had power over me was when I was working a part tim job at Macy's. It was before I learend the joys of working for myself. I wanted to get money but the manager stopped me because she was crazy and controlling. I felt powerless and broke. I felt so unhappy working for them that I quit..,1,0,20,17,22,21,13,17,5,19,18,11,24,0,96,90,88,89,87,0,95,87,91,9,34,50,42,44,45,44,61,50,23,f,female,3,3,1,0,0,0,1,0,0,0,,n0,no,0,0
R_3OqTCB5dr0amLO9,75.68.119.60,0,0,7/14/15 7:39,7/14/15 7:43,0,-1,0,0,,There was a time someone else had power over me while I was at work.  My grandmother had passed and I was moving as fast as I could to finish up as soon as possible.  Other coworkers were making rude comments to me and I could not take it; I asked my supervisor for a break and I went outside behind the dumpster and smoked a couple cigarettes; but I was not feeling any better.  So when I went back inside; I asked my manager for the rest of the night off.  She told me we were already two people short and I had to stay.  I felt powerless because I could leave; but I might get fired or written up.  I felt my manager controlled my outcome.,1,0,78,100,85,0,87,71,90,0,92,2,83,0,100,56,0,100,96,0,100,0,98,0,0,100,0,0,100,1,100,100,29,f,female,1,2,0,0,0,1,0,0,0,0,,no,no,0,0
R_3JfqMHanlDCXBgg,50.141.76.142,0,0,8/13/15 19:06,8/13/15 19:13,0,-1,0,0,,Well; I currently feel powerless in the position I am in now; I am a restaurant manager for a local arbys in town; I am next in the running to become gm at a new location they are building. The only bad part is the person who is doing my evaluation is another gm from a location I used to work at; and let's say we did not hit it off and she still has some sort of problem with me. We don't get along very much so she is making me feel kind of power less right now; having to kiss her butt!,-1,0,100,32,100,9,100,42,16,0,18,60,5,0,100,100,36,100,60,0,100,100,100,0,93,4,42,69,0,0,0,0,24,f,female,2,3,1,0,0,0,0,0,0,0,,n/a,no,0,0
R_A6TfZ4YtsVDE3M5,76.103.138.97,0,0,8/13/15 19:31,8/13/15 19:42,0,-1,0,0,,I used to do temp office jobs and one of the worst ones was as a receptionist at a real estate office. Receptionists could not leave their desk for any reason without it being an official break; which were at the discretion of the supervisor. We could not send a caller to voicemail if the person they were trying to reach was not in. We had to try to track them down and; if they could not be found; had to take written notes. The worst part was that the supervisor would secretly listen in; unannounced; throughout the day and you wouldn't know when she was there. If she heard you say anything she didn't like; if she thought you weren't being deferential enough or polite enough or whatever; she'd write you up. You could try hard to do a great job; but it was never enough for her. She was the sole decider of whether you were good enough to do the job; and although I'm a nice; polite person; I only lasted two days before she let me go because I wasn't subservient enough.  ,-1,0,96,26,96,48,86,36,0,0,5,0,15,0,34,87,51,33,83,0,77,83,87,16,59,15,78,23,23,73,78,20,48,F,female,1,5,0,0,0,1,0,0,0,0,,It was interesting.,No,0,0
R_2vdcgxSd8fOi5UZ,72.218.214.102,0,1,7/14/15 7:30,7/14/15 7:34,0,1,0,1,Please forgive me; but I told you so. I predicted long ago that power would transform fear and its inculcation into the preeminent force ruling human existence. Now that it has; I'd like to express my thoughts on the matter. Let us note first of all that I shall return to this point in particular. In view of that; it is not surprising that I was recently pondering the unjust; asymmetrical power relations that characterize its disorganized; sententious hatchet jobs. This exercise made me realize something: I cannot promise not to be angry at power. I do promise; however; to try to keep my anger under control; to keep it from leading me—as it leads power—to shake belief in all existing institutions through the systematic perversion of both contemporary and historical facts. I conclude this letter with an appropriate quote: “Power's disquisitions are related to the elements and bases of conspiracism both organizationally and ideologically.” I believe we all know who said that; don't we?,,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,84,0,0,0,0,0,16,50,50,50,50,50,50,50,50,22,F,female,4,5,1,0,0,0,0,0,0,0,,,,0,0
R_31MkD1yRf5naxeH,67.48.124.219,0,0,8/13/15 19:27,8/13/15 19:31,0,-1,0,0,,i cant think of a time when someone have had power over me ,-1,5,27,23,26,9,27,27,23,3,24,15,22,27,26,30,16,22,24,27,23,17,25,35,26,40,47,36,43,57,41,59,37,f,female,3,2,0,0,0,1,0,0,0,0,,nothing ,no,0,0
R_1PZdu6jGXEHOpCt,67.44.224.20,0,0,7/14/15 8:25,7/14/15 8:37,0,1,0,0, I was required to evaluate all of the staff at work a few months ago.  I needed to fill out a detailed evaluation of each person; with areas to improve as well as areas of good performance.  There was one employee that I knew had had some issues already; and I had unique knowledge of several areas that needed further improvement.  In a way I was reluctant to draw attention to these areas; because I knew she was already having some problems and I knew she wouldn't get a raise she wanted.  However; I chose to be truthful and highlight these areas for the good of the group.  Still; I felt a bit guilty.  My power in this situation has remained stable because neither of our job descriptions have changed.  My education level is higher; and as a result I have more responsibility.  No matter how long she works here; she will never be able to attain my position.  I will always have higher status.,,1,7,83,55,60,34,76,53,5,2,35,35,43,0,93,52,42,82,89,2,84,46,90,1,18,93,93,6,90,2,7,91,39,F,female,6,6,0,0,0,1,0,0,0,0,,no,not really,0,0
R_5vUkgyGltLxH66t,108.61.228.70,0,0,7/9/15 22:49,7/9/15 22:52,0,NA,0,0,,,-1,10,99,70,70,89,76,78,79,7,90,78,77,6,88,99,8,88,88,9,87,86,100,3,20,9,95,11,15,89,91,58,30,f,female,3,4,0,0,1,1,0,0,0,0,,,,0,0
